[ate: Sat, 14 Mar 2015 04:40:35 +0100] [type: admin] [action: login ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Inicio de sesión correcto]
[ate: Sat, 14 Mar 2015 04:41:02 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Creacion de menu ]
[ate: Sat, 14 Mar 2015 04:41:58 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Creacion de item de configuracion ]
[ate: Sat, 14 Mar 2015 04:41:58 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Creacion de menu de configuracion ]
[ate: Sat, 14 Mar 2015 04:42:28 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Creacion de item de configuracion ]
[ate: Sat, 14 Mar 2015 04:42:28 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Creacion de menu de configuracion ]
[ate: Sat, 14 Mar 2015 04:44:29 +0100] [type: Admin Menus] [action: {admin_users} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Menu Despublicado 11]
[ate: Sat, 14 Mar 2015 04:44:39 +0100] [type: Admin Menus] [action: {admin_users} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Menu Despublicado 18]
[ate: Sat, 14 Mar 2015 04:44:51 +0100] [type: Admin Menus] [action: {admin_users} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Menu Despublicado 1]
[ate: Sat, 14 Mar 2015 04:46:26 +0100] [type: Admin Items] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Se agrega campo a item de configuracion 11 ajh_admin_params_content ]
[ate: Sat, 14 Mar 2015 04:46:37 +0100] [type: Admin Items] [action: {admin_params_content} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Eliminacion de campo de item de configuracion 21]
[ate: Sat, 14 Mar 2015 04:47:07 +0100] [type: Admin Items] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Se agrega campo a item de configuracion 11 ajh_admin_params_content ]
[ate: Sat, 14 Mar 2015 04:47:23 +0100] [type: Admin Items] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Se agrega campo a item de configuracion 11 ajh_admin_params_content ]
[ate: Sat, 14 Mar 2015 04:58:04 +0100] [type: admin] [action: login ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Inicio de sesión correcto]
[ate: Sat, 14 Mar 2015 05:19:55 +0100] [type: admin] [action: login ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Inicio de sesión correcto]
[ate: Sat, 14 Mar 2015 05:35:38 +0100] [type: Admin Items] [action: {admin_params_conf} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Evento Eliminado 2]
